time, Quad.IMU.AX
1.405010,1.187262
1.410010,-0.133887
1.415010,-0.350824
1.420010,0.471153
1.425011,-0.354720
1.430011,0.907768
1.435011,-0.041316
1.440011,-0.128157
1.445011,0.506366
1.450012,0.011855
1.455012,-0.639188
1.460012,-0.198120
1.465012,0.237108
1.470013,0.225935
1.475013,0.701263
1.480013,-0.834186
1.485013,-0.431868
1.490014,0.455688
1.495014,0.588275
1.500014,0.169522
1.505014,0.084751
1.510015,0.482549
1.515015,-0.031545
1.520015,0.197220
1.525015,0.534870
1.530015,0.221834
1.535016,-0.833682
1.540016,0.025334
1.545016,-0.175979
1.550016,0.377896
1.555017,0.204807
1.560017,0.541475
1.565017,0.662253
1.570017,0.395025
1.575018,-0.889986
1.580018,-0.185026
1.585018,-0.636388
1.590018,-0.041690
1.595019,-0.152327
1.600019,-0.761108
1.605019,0.024792
1.610019,0.025623
1.615019,0.120611
1.620020,-1.077045
1.625020,-0.129532
1.630020,-0.442200
1.635020,0.643853
1.640021,0.456791
1.645021,-0.235983
1.650021,-0.553463
1.655021,-0.191848
1.660022,0.206345
1.665022,0.446491
1.670022,0.728318
1.675022,0.663216
1.680022,0.712050
1.685023,0.491296
1.690023,0.648604
1.695023,-0.011491
1.700023,0.048343
1.705024,-0.679897
1.710024,0.205098
1.715024,-0.118825
1.720024,-0.837770
1.725025,-0.137326
1.730025,-0.738048
1.735025,0.060659
1.740025,-0.032685
1.745026,0.343631
1.750026,0.109350
1.755026,-0.371851
1.760026,0.183717
1.765026,-0.055530
1.770027,0.242504
1.775027,-0.696564
1.780027,0.010004
1.785027,0.160238
1.790028,0.254960
1.795028,-0.223172
1.800028,0.442671
1.805028,-0.574163
1.810029,0.021979
1.815029,0.325162
1.820029,0.525567
1.825029,-0.392708
1.830029,0.083416
1.835030,-0.389597
1.840030,-0.568059
1.845030,0.480520
1.850030,0.288934
1.855031,-0.203574
1.860031,-0.786100
1.865031,-0.285291
1.870031,0.528525
1.875032,0.353412
1.880032,0.067714
1.885032,-0.232917
1.890032,-0.845137
1.895033,0.067543
1.900033,-0.179389
1.905033,-1.208835
1.910033,0.382829
1.915033,0.069278
1.920034,-0.619256
1.925034,0.084054
1.930034,0.607084
1.935034,-0.078099
1.940035,0.196499
1.945035,-0.058104
1.950035,0.410961
1.955035,-0.101814
1.960036,-0.426065
1.965036,-0.612369
1.970036,0.511534
1.975036,-0.430964
1.980036,-0.252150
1.985037,0.358980
1.990037,-0.358303
1.995037,0.363460
2.000037,0.145619
2.005037,-0.462114
2.010037,0.305289
2.015036,0.155189
2.020036,0.168408
2.025036,0.171334
2.030035,-0.409892
2.035035,0.572398
2.040035,0.346358
2.045034,-0.496331
2.050034,0.056360
2.055033,0.825991
2.060033,-0.211637
2.065033,-0.331016
2.070032,-0.008515
2.075032,-0.264415
2.080032,-0.395573
2.085031,0.590549
2.090031,0.095188
2.095031,-0.553122
2.100030,0.315492
2.105030,-0.144512
2.110029,0.914177
2.115029,-0.687225
2.120029,-0.272080
2.125028,0.018906
2.130028,0.768246
2.135028,-0.309774
2.140027,-1.860398
2.145027,0.337869
2.150027,-0.214873
2.155026,0.171683
2.160026,0.515745
2.165025,-0.289791
2.170025,-0.684323
2.175025,-0.422576
2.180024,0.191230
2.185024,0.473942
2.190024,-0.055742
2.195023,0.315345
2.200023,-0.528461
2.205023,0.085502
2.210022,0.724264
2.215022,1.262648
2.220021,-0.274246
2.225021,-0.592311
2.230021,0.380154
2.235020,-0.014131
2.240020,-0.019787
2.245020,-0.560690
2.250019,-0.704469
2.255019,-0.956012
2.260019,-1.358613
2.265018,-0.200563
2.270018,0.176221
2.275017,0.303727
2.280017,0.741239
2.285017,-0.244181
2.290016,0.048532
2.295016,-0.722228
2.300016,0.907228
2.305015,0.058979
2.310015,0.786787
2.315015,0.361583
2.320014,0.994554
2.325014,0.177262
2.330014,-0.080698
2.335013,-0.159264
2.340013,-0.501761
2.345012,0.123610
2.350012,0.705430
2.355012,-0.408704
2.360011,0.278697
2.365011,-0.771311
2.370011,0.692685
2.375010,0.192008
2.380010,-0.082792
2.385010,-1.247282
2.390009,-0.378899
2.395009,0.017965
2.400008,0.105502
2.405008,-0.048111
2.410008,-0.279729
2.415007,-0.114061
2.420007,0.544475
2.425007,0.324800
2.430006,0.591623
2.435006,-0.381168
2.440006,-0.172450
2.445005,0.210280
2.450005,-0.076708
2.455004,0.680901
2.460004,0.440639
2.465004,-0.894229
2.470003,-0.618493
2.475003,-0.382382
2.480003,0.241138
2.485002,0.130421
2.490002,-0.884295
2.495002,-0.181302
2.500001,0.076294
2.505001,0.302224
2.510000,0.014699
2.515000,-0.373090
2.520000,0.010719
2.524999,-0.448748
2.529999,0.257821
2.534999,-0.603113
2.539998,0.121580
2.544998,0.103567
2.549998,-0.263464
2.554997,-0.305129
2.559997,-0.144787
2.564996,-0.138902
2.569996,-0.976338
2.574996,0.110663
2.579995,-0.317350
2.584995,0.271822
2.589995,0.416551
2.594994,-0.855013
2.599994,0.480934
2.604994,0.726633
2.609993,0.485930
2.614993,1.235126
2.619992,-0.177416
2.624992,0.802678
2.629992,-0.384430
2.634991,-0.588431
2.639991,0.847959
2.644991,0.612529
2.649990,-0.011388
2.654990,-0.212494
2.659990,0.356905
2.664989,0.275028
2.669989,-0.134616
2.674989,0.709902
2.679988,-0.739000
2.684988,-0.676059
2.689987,0.282979
2.694987,-0.588010
2.699987,-0.033436
2.704986,-0.580182
2.709986,0.274129
2.714986,-0.755962
2.719985,0.434408
2.724985,-0.331583
2.729985,0.619309
2.734984,0.443257
2.739984,-0.057202
2.744983,-0.538055
2.749983,-0.038576
2.754983,0.441402
2.759982,-0.556746
2.764982,0.054248
2.769982,0.226118
2.774981,0.274444
2.779981,0.632841
2.784981,0.491268
2.789980,-0.210657
2.794980,-0.121043
2.799979,0.020790
2.804979,-0.192195
2.809979,-0.384322
2.814978,0.052118
2.819978,0.148640
2.824978,-0.502019
2.829977,0.752120
2.834977,0.249431
2.839977,0.559197
2.844976,0.809049
2.849976,-0.446955
2.854975,-0.145409
2.859975,-0.054446
2.864975,-0.933609
2.869974,0.704194
2.874974,-0.493882
2.879974,0.154611
2.884973,0.325599
2.889973,-0.287344
2.894973,-0.190818
2.899972,0.552713
2.904972,-0.049850
2.909971,0.756927
2.914971,0.243406
2.919971,0.260756
2.924970,0.172318
2.929970,-0.616981
2.934970,-0.214309
2.939969,-0.066064
2.944969,-0.293278
2.949969,0.193695
2.954968,0.201481
2.959968,-0.849664
2.964967,0.173873
2.969967,0.018784
2.974967,0.474087
2.979966,-0.255738
2.984966,-0.442427
2.989966,-0.146362
2.994965,0.989481
2.999965,-1.201525
3.004965,0.356499
3.009964,0.849143
3.014964,-0.265235
3.019964,-0.325495
3.024963,0.279467
3.029963,-0.203712
3.034962,-0.401478
3.039962,0.135896
3.044962,0.081848
3.049961,0.622827
3.054961,-0.253132
3.059961,-0.427491
3.064960,-0.047185
3.069960,0.298567
3.074960,0.143271
3.079959,-0.567785
3.084959,0.404276
3.089958,-0.041043
3.094958,-1.032409
3.099958,-0.498662
3.104957,-0.373736
3.109957,0.013913
3.114957,0.035817
3.119956,-0.844838
3.124956,0.041121
3.129956,0.872580
3.134955,0.947623
3.139955,-0.091287
3.144954,-0.766488
3.149954,-1.102914
3.154954,0.422276
3.159953,-0.061527
3.164953,-0.287546
3.169953,-0.561109
3.174952,-0.004732
3.179952,0.152360
3.184952,-0.715115
3.189951,-0.344492
3.194951,0.797586
3.199950,-0.302888
3.204950,-0.448665
3.209950,0.661455
3.214949,0.306045
3.219949,-0.606342
3.224949,0.212841
3.229948,0.164381
3.234948,0.444759
3.239948,-0.492870
3.244947,-0.032846
3.249947,0.198778
3.254946,-0.171278
3.259946,-0.000135
3.264946,-0.676057
3.269945,-0.533451
3.274945,0.630924
3.279945,-0.886221
3.284944,-0.244013
3.289944,-0.136723
3.294944,-0.249851
3.299943,-0.291587
3.304943,-0.238787
3.309942,0.046484
3.314942,0.718521
3.319942,-1.010354
3.324941,0.009864
3.329941,0.797968
3.334941,-0.196670
3.339940,-0.581677
3.344940,0.049198
3.349940,-0.191325
3.354939,-0.437288
3.359939,-0.750286
3.364938,-0.080322
3.369938,-0.541079
3.374938,0.288226
3.379937,-0.019514
3.384937,-0.393515
3.389937,-1.013554
3.394936,-0.436840
3.399936,-0.733524
3.404936,0.685663
3.409935,0.027890
3.414935,-0.004615
3.419935,0.309890
3.424934,0.666215
3.429934,-0.046083
3.434933,0.112961
3.439933,1.350011
3.444933,-0.191191
3.449932,-0.084104
3.454932,-0.199734
3.459932,0.456909
3.464931,-0.550415
3.469931,-0.361411
3.474931,0.948453
3.479930,-0.522368
3.484930,0.086671
3.489929,-0.265574
3.494929,0.159474
3.499929,0.285300
3.504928,-0.527951
3.509928,-0.506208
3.514928,-0.798033
3.519927,-0.589917
3.524927,0.670847
3.529927,-0.492155
3.534926,-0.218393
3.539926,-0.788468
3.544925,-0.286076
3.549925,-0.066714
3.554925,0.283983
3.559924,0.272037
3.564924,0.120711
3.569924,-0.220499
3.574923,-0.003739
3.579923,-0.597311
3.584923,0.654675
3.589922,-0.738508
3.594922,0.066024
3.599921,0.471463
3.604921,0.365033
3.609921,0.837883
3.614920,0.202017
3.619920,0.102521
3.624920,-0.587338
3.629919,-1.092629
3.634919,0.903017
3.639919,0.724899
3.644918,0.172009
3.649918,-0.788674
3.654917,0.134622
3.659917,0.183980
3.664917,0.729329
3.669916,-0.286017
3.674916,0.077549
3.679916,-0.204657
3.684915,0.424334
3.689915,-0.625084
3.694915,0.092505
3.699914,-0.950124
